,No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
30,42,Month,九月 ,十月 ,1,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
315,108,Week,星期五,星期六,1,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
129,53,Month,五月,三月,2,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
365,99,Week,星期三 ,星期五,2,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
233,57,Month,六月,三月,3,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
14,21,Month,十月 ,十一月 ,1,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
143,46,Month,八月,六月,2,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
215,43,Month,十月 ,七月,3,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
373,111,Week,星期一,星期三 ,2,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
179,18,Month,九月 ,十二月,3,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
327,114,Week,星期四,星期五,1,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
155,65,Month,七月,五月,2,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
52,59,Month,五月,四月,1,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
49,57,Month,三月,二月,1,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
113,39,Month,九月 ,十一月 ,2,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
313,102,Week,星期六,星期日,1,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
229,61,Month,十月 ,七月,3,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
421,126,Week,星期五,星期二,3,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
71,84,Month,八月,七月,1,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
237,70,Month,十月 ,七月,3,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
89,4,Month,四月,六月,2,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
257,29,Month,五月,九月 ,4,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
223,55,Month,四月,一月,3,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
264,25,Month,一月,五月,4,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
385,126,Week,星期四,星期二,2,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
175,6,Month,六月,九月 ,3,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
93,14,Month,四月,六月,2,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
252,16,Month,八月,十二月,4,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
11,11,Month,十一月 ,十二月,1,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
429,141,Week,星期六,星期三 ,3,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
